state, kid_count,inventor_count,kid_count_m,inventor_count_m,kid_count_f,inventor_count_f,inventor_percent,inventor_percent_m,inventor_percent_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
,,,,,,,,,,0,0.0026247,0.0010718,0,0.0068807
,,,,,,,,,,0.0009893,0.0007301,0.0008521,0.0018687,0.004391
,,,,,,,,,,0.0006357,0.0010338,0.0016205,0.0029481,0.0083243
,,,,,,,,,,0.0002777,0.0014937,0.0018139,0.0034238,0.0036924
,,,,,,,,,,0.0004849,0.0009734,0.0020952,0.0035686,0.0064989
,,,,,,,,,,0,0.0006882,0.0009794,0.0024544,0.003358
,,,,,,,,,,0.0004021,0.0005522,0.0005792,0.0004151,0.0035129
,,,,,,,,,,0.0014684,0,0.0013692,0.0005058,0
,,,,,,,,,,0.0004755,0.0007522,0.0024527,0.0016214,0.0030817
,,,,,,,,,,0.0006691,0,0.0009033,0.000383,0.003006
,,,,,,,,,,0,0,0.0009916,0.0036153,0.005698
,,,,,,,,,,0.0006375,0.0007483,0.0013349,0.0025577,0.0060669
,,,,,,,,,,0.0006821,0.0006077,0.0012119,0.0034021,0.0058427
,,,,,,,,,,0.0004261,0.001392,0.0011279,0.0023276,0.0101805
,,,,,,,,,,0,0.000661,0.0019611,0.0021286,0.0049923
,,,,,,,,,,0.0007591,0.0014126,0.0020487,0.003609,0.0066625
,,,,,,,,,,0.0011074,0.0008455,0.001789,0.002357,0.0045593
,,,,,,,,,,0.0008919,0.0016809,0.0026787,0.0030815,0.0072829
,,,,,,,,,,0.0005131,0.0010513,0.0016962,0.0018105,0.0075339
,,,,,,,,,,0,0.0019802,0.003886,0.0022523,
,,,,,,,,,,0.0003697,0.000911,0.0005977,0.0021186,0.0054675
,,,,,,,,,,0,0,0,0,
,,,,,,,,,,0,0.0004115,0.0008913,0.0005831,0.0022497
,,,,,,,,,,0,0,0.0013495,0,
,,,,,,,,,,0.0002572,0.0002492,0.0004578,0.000951,0.0053476
,,,,,,,,,,0,0,0,,
,,,,,,,,,,0.0002955,0.0003613,0.0003805,0,0.0033632
,,,,,,,,,,0.0002261,0.0004706,0.0006949,0.0008465,0.0030043
,,,,,,,,,,0,0.0009838,0.0004296,0.0010532,0.0060652
,,,,,,,,,,0.0011468,0.0012717,0.0007305,0.0025641,0.0090978
,,,,,,,,,,0,0.0010185,0.0011572,0.0023923,0.0032144
,,,,,,,,,,0.0011249,0.0004464,0.0017528,0.0012361,0.003881
,,,,,,,,,,0,0.0007082,0.0018304,0.0013689,0.0025424
,,,,,,,,,,0.0004115,0.0006928,0.0025234,0.0017864,0.0027855
,,,,,,,,,,0.0004951,0.0010594,0.0026543,0.0034296,0.0074807
,,,,,,,,,,0.0010422,0.0011538,0.0008428,0.0059172,0.0057197
,,,,,,,,,,0.0007228,0.0013048,0.0025864,0.0070369,0.0074953
,,,,,,,,,,0.0008387,0.0012323,0.002134,0.0036379,0.0066833
,,,,,,,,,,0.0014434,0.0026115,0.0029383,0.0049881,0.0110211
,,,,,,,,,,0.0008532,0.0025625,0.0013654,0.0031092,0.0093697
,,,,,,,,,,0.0072727,0.004158,0.0011442,0.0046189,0.002809
,,,,,,,,,,0.0006824,0.0013168,0.0004716,0.0024922,0.0045845
,,,,,,,,,,0,0.0013204,0.0011574,0.0045106,0.0042301
,,,,,,,,,,0.0006845,0.0005546,0.0028902,0.0007097,0.003861
,,,,,,,,,,0.0013676,0.0014104,0.0020018,0.003664,0.0065266
,,,,,,,,,,0.0019317,0.0011253,0.0012034,0.0021758,0.0062893
,,,,,,,,,,0.0008522,0.0014366,0.0013233,0.0023647,0.0052452
,,,,,,,,,,0.0004344,0.0003054,0.0010417,0.0047741,0.0060132
,,,,,,,,,,0.0002505,0.0017271,0.0024685,0.0033296,0.007898
,,,,,,,,,,0.0006943,0.0014003,0.0008049,0.0032364,0.0058672
,,,,,,,,,,0.0004317,0.0011032,0.0012143,0.0029929,0.0057665
,,,,,,,,,,0.0004688,0.0016095,0.001601,0.0026125,0.0054429
,,,,,,,,,,0.0005383,0.000913,0.0014964,0.002215,0.0041859
,,,,,,,,,,0.0007468,0.0018602,0.0010368,0.0025965,0.0048123
,,,,,,,,,,0.0009337,0.0012708,0.0017231,0.0028263,0.0058585
,,,,,,,,,,0.0003712,0.0006628,0.0015181,0.0023983,0.0046511
,,,,,,,,,,0.0004706,0.0007163,0.0010098,0.0020869,0.0061703
,,,,,,,,,,0.0007037,0.0001718,0.0009756,0.0017509,0.0042774
,,,,,,,,,,0,0.0005025,0.0011338,0.0011351,0.0042493
,,,,,,,,,,0.0008078,0,0,0.0036232,
,,,,,,,,,,0.0015699,0.0014101,0.0013354,0.0023283,0.0058451
,,,,,,,,,,0,0.0031496,0.0020576,0,
,,,,,,,,,,0,0,0.0015662,0.0059524,0
,,,,,,,,,,0.0009706,0.001323,0.0021405,0.0029905,0.0065147
,,,,,,,,,,0.0021044,0.0013966,0.0024128,0.0046144,0.0093505
,,,,,,,,,,0,0.0018428,0.0028852,0.0042017,0.0018904
,,,,,,,,,,0.0018657,0.0010805,0.0034554,0.0047319,0.0030075
,,,,,,,,,,0.0006587,0.0009191,0.0015807,0.0022865,0.0066182
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0.0012928,0.0014647,0.0025843,0.0028024,0.006866
,,,,,,,,,,0.0003118,0.0020597,0.0018718,0.003217,0.0074171
,,,,,,,,,,0.0042827,0.0019443,0.0021186,0.0038781,0.0086682
,,,,,,,,,,0.0007808,0.0015316,0.0025697,0.0040229,0.0058125
,,,,,,,,,,0.0006385,0.0013372,0.0019564,0.0027343,0.005863
,,,,,,,,,,0,0.0025025,0.0021863,0.0025221,0.0071272
,,,,,,,,,,0,0.00246,0.0020661,0.0042017,0.0102041
,,,,,,,,,,0.002451,0,0.0025707,0.0048701,0.0062305
,,,,,,,,,,0,0.0021645,0.0017889,0.0057803,
,,,,,,,,,,0,0.0010163,0,0.0057604,0.0090909
,,,,,,,,,,0.0008734,0.0028719,0.0037534,0.0053558,0.006006
,,,,,,,,,,0,0.0037879,0,0.0036597,0.006772
,,,,,,,,,,0.0023529,0.0010194,0.0033512,0.0030451,0.0068776
,,,,,,,,,,0,0.0015601,0.0046512,0.0015432,0.0122699
,,,,,,,,,,0.0035971,0.0010433,0.0032927,0.0030148,0.0029709
,,,,,,,,,,0,0.0008532,0.0014786,0.0044106,0.0068966
,,,,,,,,,,0.0006553,0.0009718,0.0022527,0.0029988,0.0066187
,,,,,,,,,,0.0007352,0.0019011,0.0022363,0.0034389,0.0078015
,,,,,,,,,,0,0,0.00125,0.0030211,
,,,,,,,,,,0.0006109,0.0024655,0.0013489,0.0035955,0.0087032
,,,,,,,,,,0,0.0021561,0.0041551,0.003392,0.0133053
,,,,,,,,,,0,0,0.0033761,0.0015987,0.0089767
,,,,,,,,,,0,0.0025532,0,0.0022901,0.0079365
,,,,,,,,,,0,0.0017346,0.0018738,0.0017346,0.002045
,,,,,,,,,,0,0.0014981,0.0045135,0.0056101,0.0056711
,,,,,,,,,,0,0.0011291,0.0013854,0.0030628,0.0051343
,,,,,,,,,,,0,0.002805,0.0064795,
,,,,,,,,,,0,0.0016367,0.0014164,0.0040906,0.0060459
,,,,,,,,,,0.0023184,0.0013587,0.0008463,0.0021768,0.0058792
,,,,,,,,,,0.0007722,0.0004742,0.0019084,0.0049572,0.0057252
,,,,,,,,,,0,0.0016278,0.0024583,0.0023641,0.0081893
,,,,,,,,,,0.0011673,0.0003935,0.0029196,0.0030498,0.0069228
,,,,,,,,,,0.0011344,0.0010204,0.0020816,0.0030457,0.0064532
,,,,,,,,,,0.0015291,0.0010571,0.0015962,0.0022472,0.005291
,,,,,,,,,,0.0012717,0.001082,0.0032019,0.0025658,0.0074127
,,,,,,,,,,0.0022873,0.0025349,0.0027037,0.0038677,0.0083799
,,,,,,,,,,0.0011325,0.0010597,0.0015334,0.0035107,0.0086482
,,,,,,,,,,0.0009083,0.0020367,0.0028998,0.0036613,0.0053362
,,,,,,,,,,0.0014572,0.0022435,0.0029902,0.0039991,0.0097056
,,,,,,,,,,0.0016247,0.0008658,0.0020588,0.0053577,0.0054678
,,,,,,,,,,0,0,0.0019133,0.0029176,0.0014472
,,,,,,,,,,0.0009794,0.0032031,0.001462,0.0039909,0.0076336
,,,,,,,,,,0,0.0006094,0.0019685,0.0037791,0.0058875
,,,,,,,,,,0,0.0007591,0.0011289,0.0026114,0.0095557
,,,,,,,,,,0.0034996,0.0016384,0.0019091,0.0023753,0.0072267
,,,,,,,,,,0,0.00104,0.0017668,0.0015472,0.0042283
,,,,,,,,,,0,0.000977,0.001916,0.0024648,0.0033935
,,,,,,,,,,0,0,0.0046154,0.0027739,0.0079491
,,,,,,,,,,0.0006774,0.0018426,0.0017466,0.0045795,0.007952
,,,,,,,,,,0.0002482,0.0017928,0.0012527,0.0022575,0.0046483
,,,,,,,,,,0.0003041,0.0012442,0.0028381,0.0033025,0.0074173
,,,,,,,,,,0,0,0.0004556,0.0021968,0.0056738
,,,,,,,,,,0.0006022,0.0008595,0.0015767,0.0023341,0.0055838
,,,,,,,,,,0.0002201,0.0006446,0.0007719,0.00259,0.0073177
,,,,,,,,,,0.0006631,0.0016322,0.0010828,0.0048123,0.0080808
