cz,city,state,stateabbrv,kid_count,inventor,kid_count_m,inventor_m,inventor_f,kid_count_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
19903,Chincoteague,Virginia,VA,2833,0.000706,1438,0,0.0014337,1395,0.0008078,0,0,0.0036232,
20001,Bangor,Maine,ME,17422,0.0021238,8735,0.00332,0.0009209,8687,0.0015699,0.0014101,0.0013354,0.0023283,0.0058451
20002,Calais,Maine,ME,2181,0.0013755,1068,0.002809,0,1113,0,0.0031496,0.0020576,0,
20003,Presque Isle,Maine,ME,4734,0.0014787,2395,0.0020877,0.0008551,2339,0,0,0.0015662,0.0059524,0
20100,Portland,Maine,ME,41647,0.0026893,21012,0.0040929,0.0012602,20632,0.0009706,0.001323,0.0021405,0.0029905,0.0065147
20200,Burlington,Vermont,VT,19023,0.0041529,9539,0.0070238,0.0012654,9483,0.0021044,0.0013966,0.0024128,0.0046144,0.0093505
20301,Berlin,Vermont,VT,6264,0.002235,3169,0.0037867,0.0006462,3095,0,0.0018428,0.0028852,0.0042017,0.0018904
20302,Claremont,Vermont,VT,16651,0.0029428,8509,0.005171,0.0006142,8141,0.0018657,0.0010805,0.0034554,0.0047319,0.0030075
20401,Providence,Rhode Island,RI,80887,0.002658,40742,0.0041481,0.001146,40141,0.0006587,0.0009191,0.0015807,0.0022865,0.0066182
20402,Nantucket,Massachusetts,MA,381,0,,,,,,,,,
20403,Oak Bluffs,Massachusetts,MA,799,0.0012516,398,0.0025126,0,401,,,,,
20500,Boston,Massachusetts,MA,235108,0.003828,117888,0.0059463,0.0016894,117203,0.0012928,0.0014647,0.0025843,0.0028024,0.006866
20600,Manchester,New Hampshire,NH,71356,0.0036017,35758,0.0056491,0.0015451,35596,0.0003118,0.0020597,0.0018718,0.003217,0.0074171
20700,Keene,New Hampshire,NH,7439,0.0038984,3855,0.0054475,0.0022321,3584,0.0042827,0.0019443,0.0021186,0.0038781,0.0086682
20800,Springfield,Massachusetts,MA,36795,0.003207,18402,0.0053799,0.0010332,18390,0.0007808,0.0015316,0.0025697,0.0040229,0.0058125
20901,Bridgeport,Connecticut,CT,171565,0.0032641,86019,0.0052082,0.0013096,85522,0.0006385,0.0013372,0.0019564,0.0027343,0.005863
20902,Pittsfield,Massachusetts,MA,9911,0.002926,5042,0.0049583,0.0008215,4869,0,0.0025025,0.0021863,0.0025221,0.0071272
21001,Ashland,Wisconsin,WI,3309,0.0030221,1718,0.0052386,0.0006285,1591,0,0.00246,0.0020661,0.0042017,0.0102041
21002,Houghton,Michigan,MI,2750,0.0029091,1404,0.0049858,0.0007429,1346,0.002451,0,0.0025707,0.0048701,0.0062305
21003,Ironwood,Michigan,MI,1902,0.0026288,953,0.0041973,0.0010537,949,0,0.0021645,0.0017889,0.0057803,
21004,Rhinelander,Wisconsin,WI,4118,0.0026712,2104,0.0047529,0.0004965,2014,0,0.0010163,0,0.0057604,0.0090909
21101,Rice Lake,Wisconsin,WI,6724,0.0035693,3456,0.0054977,0.00153,3268,0.0008734,0.0028719,0.0037534,0.0053558,0.006006
21102,Amery,Wisconsin,WI,3892,0.0025694,1952,0.0035861,0.0015464,1940,0,0.0037879,0,0.0036597,0.006772
21201,Hutchinson,Minnesota,MN,5267,0.0032276,2639,0.005305,0.0011416,2628,0.0023529,0.0010194,0.0033512,0.0030451,0.0068776
21202,Redwood Falls,Minnesota,MN,2728,0.0036657,1400,0.0064286,0.000753,1328,0,0.0015601,0.0046512,0.0015432,0.0122699
21301,Mankato,Minnesota,MN,10788,0.0027809,5449,0.0055056,0,5339,0.0035971,0.0010433,0.0032927,0.0030148,0.0029709
21302,Owatonna,Minnesota,MN,7674,0.0032578,3766,0.0063728,0.0002559,3908,0,0.0008532,0.0014786,0.0044106,0.0068966
21400,St. Cloud,Minnesota,MN,18640,0.0029506,9494,0.0049505,0.0008747,9146,0.0006553,0.0009718,0.0022527,0.0029988,0.0066187
21501,Minneapolis,Minnesota,MN,171148,0.0043588,86122,0.0068275,0.0018467,85017,0.0007352,0.0019011,0.0022363,0.0034389,0.0078015
21502,Pine City,Minnesota,MN,2789,0.0014342,1391,0.0028756,0,1397,0,0,0.00125,0.0030211,
21600,Brainerd,Minnesota,MN,9263,0.0029148,4678,0.0057717,0,4585,0.0006109,0.0024655,0.0013489,0.0035955,0.0087032
21701,Rochester,Minnesota,MN,16020,0.0058052,8148,0.0100638,0.0013974,7872,0,0.0021561,0.0041551,0.003392,0.0133053
21702,Austin,Minnesota,MN,4765,0.0025184,2441,0.0040967,0.0008606,2324,0,0,0.0033761,0.0015987,0.0089767
21801,Mason City,Iowa,IA,5329,0.0020642,2706,0.0033259,0.0007625,2623,0,0.0025532,0,0.0022901,0.0079365
21802,Decorah,Iowa,IA,4914,0.001628,2467,0.0020268,0.001226,2447,0,0.0017346,0.0018738,0.0017346,0.002045
21900,Marshalltown,Iowa,IA,7245,0.0040028,3685,0.0065129,0.0014045,3560,0,0.0014981,0.0045135,0.0056101,0.0056711
22001,Waterloo,Iowa,IA,14426,0.0022875,7172,0.0037646,0.0008271,7254,0,0.0011291,0.0013854,0.0030628,0.0051343
22002,Iowa Falls,Iowa,IA,2126,0.0032926,1095,0.003653,0.0029098,1031,,0,0.002805,0.0064795,
22100,Iowa City,Iowa,IA,11295,0.0030987,5718,0.0054215,0.0007172,5577,0,0.0016367,0.0014164,0.0040906,0.0060459
22200,Cedar Rapids,Iowa,IA,15383,0.0026653,7757,0.0042542,0.001049,7626,0.0023184,0.0013587,0.0008463,0.0021768,0.0058792
